Herr/Frau;Titel;Vorname;Name;Land;Fraktion;Mailadresse
;;Pascal;ARIMONT;Belgien;der Europäischen Volkspartei (Christdemokraten);pascal.arimont@europarl.europa.eu
;;Bartosz;ARŁUKOWICZ;Polen;der Europäischen Volkspartei (Christdemokraten);bartosz.arlukowicz@europarl.europa.eu
;;Sakis;ARNAOUTOGLOU;Griechenland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;sakis.arnaoutoglou@europarl.europa.eu
;;Anja;ARNDT;Deutschland;Europa der Souveränen Nationen;anja.arndt@europarl.europa.eu
;;Konstantinos;ARVANITIS;Griechenland;Die Linke im Europäischen Parlament - GUE/NGL;konstantinos.arvanitis@europarl.europa.eu
;;Jaume;ASENS LLODRÀ;Spanien;der Grünen / Freie Europäische Allianz;jaume.asensllodra@europarl.europa.eu
;;Francisco;ASSIS;Portugal;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;francisco.assis@europarl.europa.eu
;;Daniel;ATTARD;Malta;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;daniel.attard@europarl.europa.eu
;;Manon;AUBRY;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;manon.aubry@europarl.europa.eu
;;René;AUST;Deutschland;Europa der Souveränen Nationen;rene.aust@europarl.europa.eu
;;Petras;AUŠTREVIČIUS;Litauen;Renew Europe;petras.austrevicius@europarl.europa.eu
;;Adrian-George;AXINIA;Rumänien;der Europäischen Konservativen und Reformer;adrian-george.axinia@europarl.europa.eu
;;Malik;AZMANI;Niederlande;Renew Europe;malik.azmani@europarl.europa.eu
;;Thomas;BAJADA;Malta;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;thomas.bajada@europarl.europa.eu
;;Jeannette;BALJEU;Niederlande;Renew Europe;jeannette.baljeu@europarl.europa.eu
;;Laura;BALLARÍN CEREZA;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;laura.ballarincereza@europarl.europa.eu
;;Jordan;BARDELLA;Frankreich;Patrioten für Europa;jordan.bardella@europarl.europa.eu
;;Katarina;BARLEY;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;katarina.barley@europarl.europa.eu
;;Dan;BARNA;Rumänien;Renew Europe;dan.barna@europarl.europa.eu
;;Pernando;BARRENA ARZA;Spanien;Die Linke im Europäischen Parlament - GUE/NGL;pernando.barrenaarza@europarl.europa.eu
;;Stephen Nikola;BARTULICA;Kroatien;der Europäischen Konservativen und Reformer;stephennikola.bartulica@europarl.europa.eu
;;Nikola;BARTŮŠEK;Tschechien;Patrioten für Europa;nikola.bartusek@europarl.europa.eu
;;Arno;BAUSEMER;Deutschland;Europa der Souveränen Nationen;arno.bausemer@europarl.europa.eu
;;Nicolas;BAY;Frankreich;der Europäischen Konservativen und Reformer;nicolas.bay@europarl.europa.eu
;;Christophe;BAY;Frankreich;Patrioten für Europa;christophe.bay@europarl.europa.eu
;;Wouter;BEKE;Belgien;der Europäischen Volkspartei (Christdemokraten);wouter.beke@europarl.europa.eu
;;Fredis;BELERIS;Griechenland;der Europäischen Volkspartei (Christdemokraten);fredis.beleris@europarl.europa.eu
;;François-Xavier;BELLAMY;Frankreich;der Europäischen Volkspartei (Christdemokraten);francois-xavier.bellamy@europarl.europa.eu
;;Dragoş;BENEA;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;dragos.benea@europarl.europa.eu
;;Brando;BENIFEI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;brando.benifei@europarl.europa.eu
;;Isabel;BENJUMEA BENJUMEA;Spanien;der Europäischen Volkspartei (Christdemokraten);isabel.benjumeabenjumea@europarl.europa.eu
;;Monika;BEŇOVÁ;Slowakei;Fraktionslos;monika.benova@europarl.europa.eu
;;Hildegard;BENTELE;Deutschland;der Europäischen Volkspartei (Christdemokraten);hildegard.bentele@europarl.europa.eu
;;Tom;BERENDSEN;Niederlande;der Europäischen Volkspartei (Christdemokraten);tom.berendsen@europarl.europa.eu
;;Stefan;BERGER;Deutschland;der Europäischen Volkspartei (Christdemokraten);stefan.berger@europarl.europa.eu
;;Sibylle;BERG;Deutschland;Fraktionslos;sibylle.berg@europarl.europa.eu
;;Sergio;BERLATO;Italien;der Europäischen Konservativen und Reformer;sergio.berlato@europarl.europa.eu
;;Alexander;BERNHUBER;Österreich;der Europäischen Volkspartei (Christdemokraten);alexander.bernhuber@europarl.europa.eu
;;Robert;BIEDROŃ;Polen;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;robert.biedron@europarl.europa.eu
;;Adam;BIELAN;Polen;der Europäischen Konservativen und Reformer;adam.bielan@europarl.europa.eu
;;Gabriele;BISCHOFF;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;gabriele.bischoff@europarl.europa.eu
;;Ľuboš;BLAHA;Slowakei;Fraktionslos;lubos.blaha@europarl.europa.eu
;;Vilija;BLINKEVIČIŪTĖ;Litauen;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;vilija.blinkeviciute@europarl.europa.eu
;;Rachel;BLOM;Niederlande;Patrioten für Europa;rachel.blom@europarl.europa.eu
;;Michael;BLOSS;Deutschland;der Grünen / Freie Europäische Allianz;michael.bloss@europarl.europa.eu
;;Tobiasz;BOCHEŃSKI;Polen;der Europäischen Konservativen und Reformer;tobiasz.bochenski@europarl.europa.eu
;;Damian;BOESELAGER;Deutschland;der Grünen / Freie Europäische Allianz;damian.boeselager@europarl.europa.eu
;;Ioan-Rareş;BOGDAN;Rumänien;der Europäischen Volkspartei (Christdemokraten);ioan-rares.bogdan@europarl.europa.eu
;;Stefano;BONACCINI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;stefano.bonaccini@europarl.europa.eu
;;Barbara;BONTE;Belgien;Patrioten für Europa;barbara.bonte@europarl.europa.eu
;;Paolo;BORCHIA;Italien;Patrioten für Europa;paolo.borchia@europarl.europa.eu
;;Mireia;BORRÁS PABÓN;Spanien;Patrioten für Europa;mireia.borraspabon@europarl.europa.eu
;;Zsuzsanna;BORVENDÉG;Ungarn;Europa der Souveränen Nationen;zsuzsanna.borvendeg@europarl.europa.eu
;;Biljana;BORZAN;Kroatien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;biljana.borzan@europarl.europa.eu
;;Gordan;BOSANAC;Kroatien;der Grünen / Freie Europäische Allianz;gordan.bosanac@europarl.europa.eu
;;Irmhild;BODORF;Deutschland;Europa der Souveränen Nationen;irmhild.bodorf@europarl.europa.eu
;;Stine;BOSSE;Dänemark;Renew Europe;stine.bosse@europarl.europa.eu
;;Marc;BOTENGA;Belgien;Die Linke im Europäischen Parlament - GUE/NGL;marc.botenga@europarl.europa.eu
;;Gilles;BOYER;Frankreich;Renew Europe;gilles.boyer@europarl.europa.eu
;;Lynn;BOYLAN;Irland;Die Linke im Europäischen Parlament - GUE/NGL;lynn.boylan@europarl.europa.eu
;;Helmut;BRANDSTÄTTER;Österreich;Renew Europe;helmut.brandstatter@europarl.europa.eu
;;Marie-Luce;BRASIER-CLAIN;Frankreich;Patrioten für Europa;marie-luce.brasierclain@europarl.europa.eu
;;Grzegorz;BRAUN;Polen;Fraktionslos;grzegorz.braun@europarl.europa.eu
;;Krzysztof;BREJZA;Polen;der Europäischen Volkspartei (Christdemokraten);krzysztof.brejza@europarl.europa.eu
;;Saskia;BRICMONT;Belgien;der Grünen / Freie Europäische Allianz;saskia.bricmont@europarl.europa.eu
;;Nikolina;BRNJAC;Kroatien;der Europäischen Volkspartei (Christdemokraten);nikolina.brnjac@europarl.europa.eu
;;Joachim Stanisław;BRUDZIŃSKI;Polen;der Europäischen Konservativen und Reformer;joachimstanislaw.brudzinski@europarl.europa.eu
;;Anna;BRYŁKA;Polen;Patrioten für Europa;anna.brylka@europarl.europa.eu
;;Markus;BUCHHEIT;Deutschland;Europa der Souveränen Nationen;markus.buchheit@europarl.europa.eu
;;Tomasz;BUCZEK;Polen;Patrioten für Europa;tomasz.buczek@europarl.europa.eu
;;Daniel;BUDA;Rumänien;der Europäischen Volkspartei (Christdemokraten);daniel.buda@europarl.europa.eu
;;Waldemar;BUDA;Polen;der Europäischen Konservativen und Reformer;waldemar.buda@europarl.europa.eu
;;Borys;BUDKA;Polen;der Europäischen Volkspartei (Christdemokraten);borys.budka@europarl.europa.eu
;;Sebastião;BUGALHO;Portugal;der Europäischen Volkspartei (Christdemokraten);sebastiao.bugalho@europarl.europa.eu
;;Andrzej;BUŁA;Polen;der Europäischen Volkspartei (Christdemokraten);andrzej.bula@europarl.europa.eu
;;Udo;BULLMANN;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;udo.bullmann@europarl.europa.eu
;;Delara;BURKHARDT;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;delara.burkhardt@europarl.europa.eu
;;Jorge;BUXADÉ VILLALBA;Spanien;Patrioten für Europa;jorge.buxadevillalba@europarl.europa.eu
;;Petr;BYSTRON;Deutschland;Europa der Souveränen Nationen;petr.bystron@europarl.europa.eu
;;Jaroslav;BŽOCH;Tschechien;Patrioten für Europa;jaroslav.bzoch@europarl.europa.eu
;;Mélissa;CAMARA;Frankreich;der Grünen / Freie Europäische Allianz;melissa.camara@europarl.europa.eu
;;Pascal;CANFIN;Frankreich;Renew Europe;pascal.canfin@europarl.europa.eu
;;Nina;CARBERRY;Irland;der Europäischen Volkspartei (Christdemokraten);nina.carberry@europarl.europa.eu
;;Gheorghe;CÂRCIU;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;gheorghe.carciu@europarl.europa.eu
;;Damien;CARÊME;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;damien.careme@europarl.europa.eu
;;David;CASA;Malta;der Europäischen Volkspartei (Christdemokraten);david.casa@europarl.europa.eu
;;Daniel;CASPARY;Deutschland;der Europäischen Volkspartei (Christdemokraten);daniel.caspary@europarl.europa.eu
;;Benoit;CASSART;Belgien;Renew Europe;benoit.cassart@europarl.europa.eu
;;Laurent;CASTILLO;Frankreich;der Europäischen Volkspartei (Christdemokraten);laurent.castillo@europarl.europa.eu
;;Pilar;DEL CASTILLO VERA;Spanien;der Europäischen Volkspartei (Christdemokraten);pilar.delcastillovera@europarl.europa.eu
;;Anna;CAVAZZINI;Deutschland;der Grünen / Freie Europäische Allianz;anna.cavazzini@europarl.europa.eu
;;Stefano;CAVEDAGNA;Italien;der Europäischen Konservativen und Reformer;stefano.cavedagna@europarl.europa.eu
;;Susanna;CECCARDI;Italien;Patrioten für Europa;susanna.ceccardi@europarl.europa.eu
;;José;CEPEDA;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;jose.cepeda@europarl.europa.eu
;;Estelle;CEULEMANS;Belgien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;estelle.ceulemans@europarl.europa.eu
;;Mohammed;CHAHIM;Niederlande;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;mohammed.chahim@europarl.europa.eu
;;Leila;CHAIBI;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;leila.chaibi@europarl.europa.eu
;;Olivier;CHASTEL;Belgien;Renew Europe;olivier.chastel@europarl.europa.eu
;;Caterina;CHINNICI;Italien;der Europäischen Volkspartei (Christdemokraten);caterina.chinnici@europarl.europa.eu
;;Asger;CHRISTENSEN;Dänemark;Renew Europe;asger.christensen@europarl.europa.eu
;;Carlo;CICCIOLI;Italien;der Europäischen Konservativen und Reformer;carlo.ciccioli@europarl.europa.eu
;;Veronika;CIFROVÁ OSTRIHOŇOVÁ;Slowakei;Renew Europe;veronika.cifrovaostrihonova@europarl.europa.eu
;;Alessandro;CIRIANI;Italien;der Europäischen Konservativen und Reformer;alessandro.ciriani@europarl.europa.eu
;;Anna Maria;CISINT;Italien;Patrioten für Europa;annamaria.cisint@europarl.europa.eu
;;Per;CLAUSEN;Dänemark;Die Linke im Europäischen Parlament - GUE/NGL;per.clausen@europarl.europa.eu
;;Christophe;CLERGEAU;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;christophe.clergeau@europarl.europa.eu
;;David;CORMAND;Frankreich;der Grünen / Freie Europäische Allianz;david.cormand@europarl.europa.eu
;;Annalisa;CORRADO;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;annalisa.corrado@europarl.europa.eu
;;Vivien;COSTANZO;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;vivien.costanzo@europarl.europa.eu
;;João;COTRIM DE FIGUEIREDO;Portugal;Renew Europe;joao.cotrimdefigueiredo@europarl.europa.eu
;;Barry;COWEN;Irland;Renew Europe;barry.cowen@europarl.europa.eu
;;Tobias;CREMER;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;tobias.cremer@europarl.europa.eu
;;Carmen;CRESPO DÍAZ;Spanien;der Europäischen Volkspartei (Christdemokraten);carmen.crespodiaz@europarl.europa.eu
;;Andi;CRISTEA;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;andi.cristea@europarl.europa.eu
;;Giovanni;CROSETTO;Italien;der Europäischen Konservativen und Reformer;giovanni.crosetto@europarl.europa.eu
;;Paulo;CUNHA;Portugal;der Europäischen Volkspartei (Christdemokraten);paulo.cunha@europarl.europa.eu
;;Henrik;DAHL;Dänemark;der Europäischen Volkspartei (Christdemokraten);henrik.dahl@europarl.europa.eu
;;Johan;DANIELSSON;Schweden;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;johan.danielsson@europarl.europa.eu
;;Marie;DAUCHY;Frankreich;Patrioten für Europa;marie.dauchy@europarl.europa.eu
;;Dóra;DÁVID;Ungarn;der Europäischen Volkspartei (Christdemokraten);dora.david@europarl.europa.eu
;;Ivan;DAVID;Tschechien;Europa der Souveränen Nationen;ivan.david@europarl.europa.eu
;;Antonio;DECARO;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;antonio.decaro@europarl.europa.eu
;;Jérémy;DECERLE;Frankreich;Renew Europe;jeremy.decerle@europarl.europa.eu
;;Raúl;DE LA HOZ QUINTANO;Spanien;der Europäischen Volkspartei (Christdemokraten);raul.delahozquintano@europarl.europa.eu
;;Danilo;DELLA VALLE;Italien;Die Linke im Europäischen Parlament - GUE/NGL;danilo.dellavalle@europarl.europa.eu
;;Valérie;DELOGE;Frankreich;Patrioten für Europa;valerie.deloge@europarl.europa.eu
;;Fabio;DE MASI;Deutschland;Fraktionslos;fabio.demasi@europarl.europa.eu
;;Salvatore;DE MEO;Italien;der Europäischen Volkspartei (Christdemokraten);salvatore.demeo@europarl.europa.eu
;;Özlem;DEMIREL;Deutschland;Die Linke im Europäischen Parlament - GUE/NGL;ozlem.demirel@europarl.europa.eu
;;Tamás;DEUTSCH;Ungarn;Patrioten für Europa;tamas.deutsch@europarl.europa.eu
;;Valérie;DEVAUX;Frankreich;Renew Europe;valerie.devaux@europarl.europa.eu
;;Adnan;DIBRANI;Schweden;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;adnan.dibrani@europarl.europa.eu
;;Ton;DIEPEVEEN;Niederlande;Patrioten für Europa;ton.diepeveen@europarl.europa.eu
;;Elisabeth;DIERINGER;Österreich;Patrioten für Europa;elisabeth.dieringer@europarl.europa.eu
;;Vasile;DÎNCU;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;vasile.dincu@europarl.europa.eu
;;Elio;DI RUPO;Belgien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;elio.dirupo@europarl.europa.eu
;;Mélanie;DISDIER;Frankreich;Patrioten für Europa;melanie.disdier@europarl.europa.eu
;;Klára;DOBREV;Ungarn;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;klara.dobrev@europarl.europa.eu
;;Regina;DOHERTY;Irland;der Europäischen Volkspartei (Christdemokraten);regina.doherty@europarl.europa.eu
;;Christian;DOLESCHAL;Deutschland;der Europäischen Volkspartei (Christdemokraten);christian.doleschal@europarl.europa.eu
;;Csaba;DÖMÖTÖR;Ungarn;Patrioten für Europa;csaba.domotor@europarl.europa.eu
;;Paulo;DO NASCIMENTO CABRAL;Portugal;der Europäischen Volkspartei (Christdemokraten);paulo.donascimentocabral@europarl.europa.eu
;;Elena;DONAZZAN;Italien;der Europäischen Konservativen und Reformer;elena.donazzan@europarl.europa.eu
;;Herbert;DORFMANN;Italien;der Europäischen Volkspartei (Christdemokraten);herbert.dorfmann@europarl.europa.eu
;;Klara;DOSTALOVA;Tschechien;Patrioten für Europa;klara.dostalova@europarl.europa.eu
;;Ondřej;DOSTÁL;Tschechien;Fraktionslos;ondrej.dostal@europarl.europa.eu
;;Siegbert Frank;DROESE;Deutschland;Europa der Souveränen Nationen;siegbertfrank.droese@europarl.europa.eu
;;Lena;DÜPONT;Deutschland;der Europäischen Volkspartei (Christdemokraten);lena.dupont@europarl.europa.eu
;;Michał;DWORCZYK;Polen;der Europäischen Konservativen und Reformer;michal.dworczyk@europarl.europa.eu
;;Matthias;ECKE;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;matthias.ecke@europarl.europa.eu
;;Christian;EHLER;Deutschland;der Europäischen Volkspartei (Christdemokraten);christian.ehler@europarl.europa.eu
;;Marieke;EHLERS;Niederlande;Patrioten für Europa;marieke.ehlers@europarl.europa.eu
;;Bas;EICKHOUT;Niederlande;der Grünen / Freie Europäische Allianz;bas.eickhout@europarl.europa.eu
;;Sofie;ERIKSSON;Schweden;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;sofie.eriksson@europarl.europa.eu
;;Dick;ERIXON;Schweden;der Europäischen Konservativen und Reformer;dick.erixon@europarl.europa.eu
;;Engin;EROGLU;Deutschland;Renew Europe;engin.eroglu@europarl.europa.eu
;;Rosa;ESTARÀS FERRAGUT;Spanien;der Europäischen Volkspartei (Christdemokraten);rosa.estarasferragut@europarl.europa.eu
;;Sebastian;EVERDING;Deutschland;Die Linke im Europäischen Parlament - GUE/NGL;sebastian.everding@europarl.europa.eu
;;Alma;EZCURRA ALMANSA;Spanien;der Europäischen Volkspartei (Christdemokraten);alma.ezcurraalmansa@europarl.europa.eu
;;Gheorghe;FALCĂ;Rumänien;der Europäischen Volkspartei (Christdemokraten);gheorghe.falca@europarl.europa.eu
;;Marco;FALCONE;Italien;der Europäischen Volkspartei (Christdemokraten);marco.falcone@europarl.europa.eu
;;Nikolas;FARANTOURIS;Griechenland;Die Linke im Europäischen Parlament - GUE/NGL;nikolas.farantouris@europarl.europa.eu
;;Laurence;FARRENG;Frankreich;Renew Europe;laurence.farreng@europarl.europa.eu
;;Jan;FARSKÝ;Tschechien;der Europäischen Volkspartei (Christdemokraten);jan.farsky@europarl.europa.eu
;;Markus;FERBER;Deutschland;der Europäischen Volkspartei (Christdemokraten);markus.ferber@europarl.europa.eu
;;Viktória;FERENC;Ungarn;Patrioten für Europa;viktoria.ferenc@europarl.europa.eu
;;Jonás;FERNÁNDEZ;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;jonas.fernandez@europarl.europa.eu
;;Carlo;FIDANZA;Italien;der Europäischen Konservativen und Reformer;carlo.fidanza@europarl.europa.eu
;;Pietro;FIOCCHI;Italien;der Europäischen Konservativen und Reformer;pietro.fiocchi@europarl.europa.eu
;;Gabriela;FIREA;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;gabriela.firea@europarl.europa.eu
;;Ruth;FIRMENICH;Deutschland;Fraktionslos;ruth.firmenich@europarl.europa.eu
;;Claire;FITA;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;claire.fita@europarl.europa.eu
;;Luke Ming;FLANAGAN;Irland;Die Linke im Europäischen Parlament - GUE/NGL;lukeming.flanagan@europarl.europa.eu
;;Loucas;FOURLAS;Zypern;der Europäischen Volkspartei (Christdemokraten);loucas.fourlas@europarl.europa.eu
;;Emma;FOURREAU;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;emma.fourreau@europarl.europa.eu
;;Emmanouil;FRAGKOS;Griechenland;der Europäischen Konservativen und Reformer;emmanouil.fragkos@europarl.europa.eu
;;Daniel;FREUND;Deutschland;der Grünen / Freie Europäische Allianz;daniel.freund@europarl.europa.eu
;;Anne-Sophie;FRIGOUT;Frankreich;Patrioten für Europa;anne-sophie.frigout@europarl.europa.eu
;;Sigrid;FRIIS;Dänemark;Renew Europe;sigrid.friis@europarl.europa.eu
;;Heléne;FRITZON;Schweden;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;helene.fritzon@europarl.europa.eu
;;Tomasz;FROELICH;Deutschland;Europa der Souveränen Nationen;tomasz.froelich@europarl.europa.eu
;;Niels;FUGLSANG;Dänemark;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;niels.fuglsang@europarl.europa.eu
;;Kathleen;FUNCHION;Irland;Die Linke im Europäischen Parlament - GUE/NGL;kathleen.funchion@europarl.europa.eu
;;Angéline;FURET;Frankreich;Patrioten für Europa;angeline.furet@europarl.europa.eu
;;Mario;FURORE;Italien;Die Linke im Europäischen Parlament - GUE/NGL;mario.furore@europarl.europa.eu
;;Michael;GAHLER;Deutschland;der Europäischen Volkspartei (Christdemokraten);michael.gahler@europarl.europa.eu
;;Kinga;GÁL;Ungarn;Patrioten für Europa;kinga.gal@europarl.europa.eu
;;Estrella;GALÁN;Spanien;Die Linke im Europäischen Parlament - GUE/NGL;estrella.galan@europarl.europa.eu
;;Lina;GÁLVEZ;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;lina.galvez@europarl.europa.eu
;;Alberico;GAMBINO;Italien;der Europäischen Konservativen und Reformer;alberico.gambino@europarl.europa.eu
;;Iratxe;GARCÍA PÉREZ;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;iratxe.garciaperez@europarl.europa.eu
;;Raquel;GARCÍA HERMIDA-VAN DER WALLE;Niederlande;Renew Europe;raquel.garciahermidavanderwalle@europarl.europa.eu
;;Jean-Paul;GARRAUD;Frankreich;Patrioten für Europa;jean-paul.garraud@europarl.europa.eu
;;Kamila;GASIUK-PIHOWICZ;Polen;der Europäischen Volkspartei (Christdemokraten);kamila.gasiukpihowicz@europarl.europa.eu
;;Geadis;GEADI;Zypern;der Europäischen Konservativen und Reformer;geadis.geadi@europarl.europa.eu
;;Hanna;GEDIN;Schweden;Die Linke im Europäischen Parlament - GUE/NGL;hanna.gedin@europarl.europa.eu
;;Alexandra;GEESE;Deutschland;der Grünen / Freie Europäische Allianz;alexandra.geese@europarl.europa.eu
;;Jens;GEIER;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;jens.geier@europarl.europa.eu
;;Thomas;GEISEL;Deutschland;Fraktionslos;thomas.geisel@europarl.europa.eu
;;Chiara;GEMMA;Italien;der Europäischen Konservativen und Reformer;chiara.gemma@europarl.europa.eu
;;Giorgos;GEORGIOU;Zypern;Die Linke im Europäischen Parlament - GUE/NGL;giorgos.georgiou@europarl.europa.eu
;;Gerben-Jan;GERBRANDY;Niederlande;Renew Europe;gerben-jan.gerbrandy@europarl.europa.eu
;;Jean-Marc;GERMAIN;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;jean-marc.germain@europarl.europa.eu
;;Gabriella;GERZSENYI;Ungarn;der Europäischen Volkspartei (Christdemokraten);gabriella.gerzsenyi@europarl.europa.eu
;;Niels;GEUKING;Deutschland;der Europäischen Volkspartei (Christdemokraten);niels.geuking@europarl.europa.eu
;;Jens;GIESEKE;Deutschland;der Europäischen Volkspartei (Christdemokraten);jens.gieseke@europarl.europa.eu
;;Borja;GIMÉNEZ LARRAZ;Spanien;der Europäischen Volkspartei (Christdemokraten);borja.gimenezlarraz@europarl.europa.eu
;;Juan Carlos;GIRAUTA VIDAL;Spanien;Patrioten für Europa;juancarlos.girautavidal@europarl.europa.eu
;;Sunčana;GLAVAK;Kroatien;der Europäischen Volkspartei (Christdemokraten);suncana.glavak@europarl.europa.eu
;;Andreas;GLÜCK;Deutschland;Renew Europe;andreas.gluck@europarl.europa.eu
;;Raphaël;GLUCKSMANN;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;raphael.glucksmann@europarl.europa.eu
;;Charles;GOERENS;Luxemburg;Renew Europe;charles.goerens@europarl.europa.eu
;;Christophe;GOMART;Frankreich;der Europäischen Volkspartei (Christdemokraten);christophe.gomart@europarl.europa.eu
;;Isilda;GOMES;Portugal;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;isilda.gomes@europarl.europa.eu
;;Sandra;GÓMEZ LÓPEZ;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;sandra.gomezlopez@europarl.europa.eu
;;Bruno;GONÇALVES;Portugal;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;bruno.goncalves@europarl.europa.eu
